x y z r g b
312.5 500.0 3.2699997425079346 103 150 161
312.5 500.0 6.539999485015869 105 142 175
312.5 500.0 9.809999227523804 133 160 139
312.5 500.0 13.079998970031738 110 194 124
312.5 500.0 16.349998712539673 118 175 93
312.5 500.0 19.619998455047607 142 179 59
312.5 500.0 22.889998197555542 142 153 49
312.5 500.0 26.159997940063477 163 165 92
312.5 562.5 6.539999485015869 83 131 165
312.5 562.5 9.809999227523804 103 156 136
312.5 562.5 13.079998970031738 102 163 131
312.5 562.5 16.349998712539673 128 152 118
312.5 562.5 19.619998455047607 124 148 87
312.5 562.5 22.889998197555542 118 136 79
312.5 562.5 26.159997940063477 155 183 92
312.5 625.0 13.079998970031738 79 149 150
312.5 625.0 16.349998712539673 80 173 128
312.5 625.0 19.619998455047607 101 135 110
312.5 625.0 22.889998197555542 101 140 100
312.5 625.0 26.159997940063477 140 191 100
312.5 687.5 16.349998712539673 52 144 125
312.5 687.5 19.619998455047607 94 147 125
312.5 687.5 22.889998197555542 82 151 110
312.5 750.0 19.619998455047607 86 152 105
375.0 62.5 16.349998712539673 182 77 141
375.0 62.5 19.619998455047607 163 47 130
375.0 62.5 22.889998197555542 182 36 65
375.0 125.0 13.079998970031738 162 81 200
375.0 125.0 16.349998712539673 204 83 157
375.0 125.0 19.619998455047607 201 60 155
375.0 125.0 22.889998197555542 185 58 96
375.0 125.0 26.159997940063477 215 95 158
375.0 187.5 9.809999227523804 139 91 190
375.0 187.5 13.079998970031738 178 109 205
375.0 187.5 16.349998712539673 207 97 176
375.0 187.5 19.619998455047607 222 84 159
375.0 187.5 22.889998197555542 196 78 115
375.0 187.5 26.159997940063477 216 104 157
375.0 250.0 6.539999485015869 158 75 171
375.0 250.0 9.809999227523804 155 112 193
375.0 250.0 13.079998970031738 197 151 217
375.0 250.0 16.349998712539673 216 138 171
375.0 250.0 19.619998455047607 250 128 158
375.0 250.0 22.889998197555542 227 93 129
375.0 250.0 26.159997940063477 225 117 161
375.0 312.5 3.2699997425079346 147 118 185
375.0 312.5 6.539999485015869 158 126 153
375.0 312.5 9.809999227523804 155 161 164
375.0 312.5 13.079998970031738 192 194 197
375.0 312.5 16.349998712539673 202 189 148
375.0 312.5 19.619998455047607 223 193 136
375.0 312.5 22.889998197555542 202 153 91
375.0 312.5 26.159997940063477 199 143 126
375.0 375.0 3.2699997425079346 151 149 187
375.0 375.0 6.539999485015869 129 135 162
375.0 375.0 9.809999227523804 123 133 154
375.0 375.0 13.079998970031738 167 206 162
375.0 375.0 16.349998712539673 190 210 139
375.0 375.0 19.619998455047607 188 200 99
375.0 375.0 22.889998197555542 166 175 48
375.0 375.0 26.159997940063477 190 152 88
375.0 437.5 3.2699997425079346 127 175 180
375.0 437.5 6.539999485015869 127 146 159
375.0 437.5 9.809999227523804 145 116 168
375.0 437.5 13.079998970031738 139 223 114
375.0 437.5 16.349998712539673 160 232 76
375.0 437.5 19.619998455047607 159 189 31
375.0 437.5 22.889998197555542 133 152 29
375.0 437.5 26.159997940063477 177 151 64
375.0 500.0 3.2699997425079346 122 173 172
375.0 500.0 6.539999485015869 140 172 144
375.0 500.0 9.809999227523804 143 149 155
375.0 500.0 13.079998970031738 117 198 118
375.0 500.0 16.349998712539673 122 172 72
375.0 500.0 19.619998455047607 118 136 48
375.0 500.0 22.889998197555542 107 105 63
375.0 500.0 26.159997940063477 183 144 64
375.0 562.5 3.2699997425079346 114 171 141
375.0 562.5 6.539999485015869 120 166 145
375.0 562.5 9.809999227523804 115 164 137
375.0 562.5 13.079998970031738 109 182 126
375.0 562.5 16.349998712539673 115 130 101
375.0 562.5 19.619998455047607 109 118 66
375.0 562.5 22.889998197555542 107 91 82
375.0 562.5 26.159997940063477 179 154 68
375.0 625.0 6.539999485015869 120 160 163
375.0 625.0 9.809999227523804 117 146 135
375.0 625.0 13.079998970031738 97 175 126
375.0 625.0 16.349998712539673 89 149 125
375.0 625.0 19.619998455047607 96 118 87
375.0 625.0 22.889998197555542 95 114 100
375.0 625.0 26.159997940063477 168 169 57
375.0 687.5 13.079998970031738 94 152 143
