x y z r g b
0.9765620231628418 1.9531240463256836 16.34999990463257 51 95 95
0.9765620231628418 1.9531240463256836 19.619999885559082 81 117 50
0.9765620231628418 1.9531240463256836 22.889999866485596 60 109 89
0.9765620231628418 1.9531240463256836 26.15999984741211 68 123 97
0.9765620231628418 1.9531240463256836 29.429999828338623 81 116 71
0.9765620231628418 1.9531240463256836 32.69999980926514 78 112 51
0.9765620231628418 1.9531240463256836 35.96999979019165 72 119 59
0.9765620231628418 2.9296860694885254 13.079999923706055 64 113 85
0.9765620231628418 2.9296860694885254 16.34999990463257 87 102 60
0.9765620231628418 2.9296860694885254 19.619999885559082 117 103 33
0.9765620231628418 2.9296860694885254 22.889999866485596 81 112 59
0.9765620231628418 2.9296860694885254 26.15999984741211 85 115 93
0.9765620231628418 2.9296860694885254 29.429999828338623 82 95 86
0.9765620231628418 2.9296860694885254 32.69999980926514 82 89 65
0.9765620231628418 2.9296860694885254 35.96999979019165 92 115 51
0.9765620231628418 3.906248092651367 9.809999942779541 68 118 95
0.9765620231628418 3.906248092651367 13.079999923706055 83 108 54
0.9765620231628418 3.906248092651367 16.34999990463257 118 86 43
0.9765620231628418 3.906248092651367 19.619999885559082 124 83 33
0.9765620231628418 3.906248092651367 22.889999866485596 91 95 55
0.9765620231628418 3.906248092651367 26.15999984741211 90 112 88
0.9765620231628418 3.906248092651367 29.429999828338623 76 90 74
0.9765620231628418 3.906248092651367 32.69999980926514 71 86 54
0.9765620231628418 3.906248092651367 35.96999979019165 82 107 55
0.9765620231628418 4.882810115814209 9.809999942779541 71 112 90
0.9765620231628418 4.882810115814209 13.079999923706055 79 80 57
0.9765620231628418 4.882810115814209 16.34999990463257 111 60 47
0.9765620231628418 4.882810115814209 19.619999885559082 117 79 40
0.9765620231628418 4.882810115814209 22.889999866485596 95 76 55
0.9765620231628418 4.882810115814209 26.15999984741211 96 93 84
0.9765620231628418 4.882810115814209 29.429999828338623 77 89 75
0.9765620231628418 4.882810115814209 32.69999980926514 73 94 53
0.9765620231628418 5.859372138977051 6.539999961853027 68 119 109
0.9765620231628418 5.859372138977051 9.809999942779541 59 99 85
0.9765620231628418 5.859372138977051 13.079999923706055 66 79 63
0.9765620231628418 5.859372138977051 16.34999990463257 98 62 60
0.9765620231628418 5.859372138977051 22.889999866485596 76 71 68
0.9765620231628418 5.859372138977051 26.15999984741211 78 92 91
0.9765620231628418 6.835934162139893 9.809999942779541 53 111 87
1.9531240463256836 0.9765620231628418 16.34999990463257 61 130 88
1.9531240463256836 0.9765620231628418 19.619999885559082 97 155 52
1.9531240463256836 0.9765620231628418 22.889999866485596 92 126 74
1.9531240463256836 0.9765620231628418 26.15999984741211 98 121 77
1.9531240463256836 0.9765620231628418 29.429999828338623 110 133 43
1.9531240463256836 0.9765620231628418 32.69999980926514 102 123 41
1.9531240463256836 0.9765620231628418 35.96999979019165 85 125 37
1.9531240463256836 1.9531240463256836 13.079999923706055 71 120 93
1.9531240463256836 1.9531240463256836 16.34999990463257 120 138 40
1.9531240463256836 1.9531240463256836 19.619999885559082 155 139 30
1.9531240463256836 1.9531240463256836 22.889999866485596 113 113 43
1.9531240463256836 1.9531240463256836 26.15999984741211 117 120 51
1.9531240463256836 1.9531240463256836 29.429999828338623 119 109 54
1.9531240463256836 1.9531240463256836 32.69999980926514 117 105 53
1.9531240463256836 1.9531240463256836 35.96999979019165 124 128 38
1.9531240463256836 1.9531240463256836 39.239999771118164 83 123 45
1.9531240463256836 2.9296860694885254 9.809999942779541 86 132 99
1.9531240463256836 2.9296860694885254 13.079999923706055 101 103 79
1.9531240463256836 2.9296860694885254 16.34999990463257 158 104 44
1.9531240463256836 2.9296860694885254 19.619999885559082 174 105 43
1.9531240463256836 2.9296860694885254 22.889999866485596 119 93 51
1.9531240463256836 2.9296860694885254 26.15999984741211 116 97 74
1.9531240463256836 2.9296860694885254 29.429999828338623 109 91 80
1.9531240463256836 2.9296860694885254 32.69999980926514 114 84 71
1.9531240463256836 2.9296860694885254 35.96999979019165 128 98 52
1.9531240463256836 2.9296860694885254 39.239999771118164 97 104 40
1.9531240463256836 3.906248092651367 6.539999961853027 72 119 134
1.9531240463256836 3.906248092651367 9.809999942779541 109 120 53
1.9531240463256836 3.906248092651367 13.079999923706055 123 87 52
1.9531240463256836 3.906248092651367 16.34999990463257 157 82 69
1.9531240463256836 3.906248092651367 19.619999885559082 160 74 53
1.9531240463256836 3.906248092651367 22.889999866485596 113 85 62
1.9531240463256836 3.906248092651367 26.15999984741211 104 102 88
1.9531240463256836 3.906248092651367 29.429999828338623 96 86 82
1.9531240463256836 3.906248092651367 32.69999980926514 102 86 61
1.9531240463256836 3.906248092651367 35.96999979019165 113 70 58
1.9531240463256836 3.906248092651367 39.239999771118164 89 87 41
1.9531240463256836 4.882810115814209 6.539999961853027 65 114 91
1.9531240463256836 4.882810115814209 9.809999942779541 133 93 44
